0.000000 0.000000	0
0.025000 0.000000	0
0.050000 0.000000	0
0.075000 0.000000	0
0.100000 0.000000	0
0.125000 0.000000	0
0.150000 0.000000	0
0.175000 0.000000	0
0.200000 0.000000	0
0.225000 0.000000	0
0.250000 0.000000	0
0.275000 0.000000	0
0.300000 0.000000	0
0.325000 0.000000	0
0.350000 0.000000	0
0.375000 0.000000	0
0.400000 0.000000	0
0.425000 0.000000	0
0.450000 0.000000	0
0.475000 0.000000	0
0.500000 0.000000	0
0.525000 0.000000	0
0.550000 0.000000	0
0.575000 0.000000	0
0.600000 0.000000	0
0.625000 0.000000	0
0.650000 0.000000	0
0.675000 0.000000	0
0.700000 0.000000	0
0.725000 0.000000	0
0.750000 0.000000	0
0.775000 0.000000	0
0.800000 0.000000	0
0.825000 0.000000	0
0.850000 0.000000	0
0.875000 0.000000	0
0.900000 0.000000	0
0.925000 0.000000	0
0.950000 0.000000	0
0.975000 0.000000	0
1.000000 0.000000	0

0.000000 0.025000	0
0.025000 0.025000	3.87658e-06
0.050000 0.025000	7.43262e-06
0.075000 0.025000	1.0284e-05
0.100000 0.025000	1.20808e-05
0.125000 0.025000	1.26979e-05
0.150000 0.025000	1.22631e-05
0.175000 0.025000	1.11182e-05
0.200000 0.025000	9.65518e-06
0.225000 0.025000	8.14087e-06
0.250000 0.025000	6.71789e-06
0.275000 0.025000	5.44839e-06
0.300000 0.025000	4.3504e-06
0.325000 0.025000	3.42017e-06
0.350000 0.025000	2.6444e-06
0.375000 0.025000	2.00665e-06
0.400000 0.025000	1.49059e-06
0.425000 0.025000	1.08162e-06
0.450000 0.025000	7.67829e-07
0.475000 0.025000	5.40425e-07
0.500000 0.025000	3.94111e-07
0.525000 0.025000	3.27336e-07
0.550000 0.025000	3.42528e-07
0.575000 0.025000	4.46301e-07
0.600000 0.025000	6.49621e-07
0.625000 0.025000	9.67874e-07
0.650000 0.025000	1.42074e-06
0.675000 0.025000	2.03169e-06
0.700000 0.025000	2.82663e-06
0.725000 0.025000	3.83094e-06
0.750000 0.025000	5.06329e-06
0.775000 0.025000	6.52324e-06
0.800000 0.025000	8.16809e-06
0.825000 0.025000	9.87419e-06
0.850000 0.025000	1.13869e-05
0.875000 0.025000	1.23013e-05
0.900000 0.025000	1.21933e-05
0.925000 0.025000	1.08139e-05
0.950000 0.025000	8.15024e-06
0.975000 0.025000	4.42857e-06
1.000000 0.025000	0

0.000000 0.050000	0
0.025000 0.050000	8.16022e-06
0.050000 0.050000	1.57266e-05
0.075000 0.050000	2.18358e-05
0.100000 0.050000	2.55917e-05
0.125000 0.050000	2.6715e-05
0.150000 0.050000	2.55031e-05
0.175000 0.050000	2.28093e-05
0.200000 0.050000	1.95986e-05
0.225000 0.050000	1.64064e-05
0.250000 0.050000	1.34753e-05
0.275000 0.050000	1.08941e-05
0.300000 0.050000	8.67715e-06
0.325000 0.050000	6.80548e-06
0.350000 0.050000	5.24688e-06
0.375000 0.050000	3.96593e-06
0.400000 0.050000	2.92902e-06
0.425000 0.050000	2.10677e-06
0.450000 0.050000	1.47545e-06
0.475000 0.050000	1.01768e-06
0.500000 0.050000	7.23085e-07
0.525000 0.050000	5.88695e-07
0.550000 0.050000	6.19426e-07
0.575000 0.050000	8.28476e-07
0.600000 0.050000	1.23769e-06
0.625000 0.050000	1.8778e-06
0.650000 0.050000	2.78832e-06
0.675000 0.050000	4.01696e-06
0.700000 0.050000	5.61774e-06
0.725000 0.050000	7.64653e-06
0.750000 0.050000	1.01514e-05
0.775000 0.050000	1.31518e-05
0.800000 0.050000	1.65964e-05
0.825000 0.050000	2.02799e-05
0.850000 0.050000	2.36994e-05
0.875000 0.050000	2.59013e-05
0.900000 0.050000	2.5839e-05
0.925000 0.050000	2.29648e-05
0.950000 0.050000	1.72676e-05
0.975000 0.050000	9.33344e-06
1.000000 0.050000	0

0.000000 0.075000	0
0.025000 0.075000	1.32036e-05
0.050000 0.075000	2.57747e-05
0.075000 0.075000	3.61415e-05
0.100000 0.075000	4.21995e-05
0.125000 0.075000	4.35524e-05
0.150000 0.075000	4.06965e-05
0.175000 0.075000	3.5456e-05
0.200000 0.075000	2.99247e-05
0.225000 0.075000	2.47713e-05
0.250000 0.075000	2.02011e-05
0.275000 0.075000	1.62506e-05
0.300000 0.075000	1.28906e-05
0.325000 0.075000	1.00676e-05
0.350000 0.075000	7.72158e-06
0.375000 0.075000	5.79438e-06
0.400000 0.075000	4.23371e-06
0.425000 0.075000	2.99517e-06
0.450000 0.075000	2.04339e-06
0.475000 0.075000	1.35277e-06
0.500000 0.075000	9.08136e-07
0.525000 0.075000	7.05308e-07
0.550000 0.075000	7.51749e-07
0.575000 0.075000	1.06717e-06
0.600000 0.075000	1.68415e-06
